id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,net_profit_margin_pct,operating_profit_margin_pct,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,id,broad_sector,sub_sector,index_weight_pct,market_cap_category,operating_activity_x,investing_activity_x,financing_activity_x,operating_activity_y,investing_activity_y,financing_activity_y,operating_activity,investing_activity,financing_activity,return_on_equity_pct,ebit,return_on_capital_employed_pct,roce_benchmark,return_on_assets_pct,debt_to_equity,interest_coverage,icr_warning,net_debt,asset_turnover,free_cash_flow_cr,capex_cr,cash_from_operations_cr,total_debt_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,icr_label,high_leverage_flag
236,BAJAJFINSV,Mar 2017,24507,15794,8713.0,36.0,0,3716,73,4925,30.0,3450,14.0,1.0,14.077610478638755,35.553107275472314,316,80.0,16071,48282,64181,128614,1645,4,62658,64306,128614,13.0,Financials,Diversified Financials,2.12,Large Cap,-10922.0,151,12513,-10922.0,151.0,12513,-10922.0,151.0,12513.0,21.360906445421335,8713.0,13.522573836388185,Financial Sector Benchmark,2.6824451459405663,2.989412420283574,2.344725511302476,False,-14376,0.19054690780163902,-10771.0,151.0,-10922.0,48282,14.0,201.8875,1.0,,False
237,BAJAJFINSV,Mar 2018,32862,22074,10788.0,33.0,1,4531,160,6099,32.0,4176,17.0,1.0,12.707686689793682,32.82819061530034,317,80.0,20403,65695,75337,161514,1792,28,69428,90266,161514,13.0,Financials,Diversified Financials,2.12,Large Cap,-19580.0,-922,19590,-19580.0,-922.0,19590,-19580.0,-922.0,19590.0,20.387638529512277,10789.0,12.51943651511987,Financial Sector Benchmark,2.585534380920539,3.2072938534394377,2.3811520635621277,False,-3733,0.20346223856755452,-20502.0,922.0,-19580.0,65695,17.0,256.0375,1.0,,False
238,BAJAJFINSV,Mar 2019,42605,27569,15037.0,35.0,2,6657,226,8155,34.0,5374,20.0,1.0,12.61354301138364,35.29397957986152,318,80.0,23660,99754,84934,208428,2097,66,81679,124587,208428,13.0,Financials,Diversified Financials,2.12,Large Cap,-27076.0,-6903,34535,-27076.0,-6903.0,34535,-27076.0,-6903.0,34535.0,22.636899747262003,15039.0,12.177919575040082,Financial Sector Benchmark,2.5783483984877273,4.201937657961246,2.259125732311852,False,18075,0.20441111558907632,-33979.0,6903.0,-27076.0,99754,20.0,296.75,1.0,,False
239,BAJAJFINSV,Mar 2020,54351,36094,18258.0,34.0,0,9500,457,8302,28.0,5994,21.0,2.0,11.028315946348734,33.59275818292212,319,80.0,31222,127212,92791,251304,3216,45,91821,156223,251304,13.0,Financials,Diversified Financials,2.12,Large Cap,-23369.0,-9948,34479,-23369.0,-9948.0,34479,-23369.0,-9948.0,34479.0,19.148936170212767,18258.0,11.518225519512471,Financial Sector Benchmark,2.385159010600707,4.0640214682767875,1.9218947368421053,False,35391,0.21627590488014517,-33317.0,9948.0,-23369.0,127212,21.0,391.275,2.0,,False
240,BAJAJFINSV,Mar 2021,60592,40950,19641.0,32.0,-7,9274,498,9862,25.0,7367,28.0,1.0,12.158370742012146,32.415170319514125,320,80.0,35750,128461,115554,279845,3182,129,113654,162879,279845,13.0,Financials,Diversified Financials,2.12,Large Cap,4547.0,-3684,1687,4547.0,-3684.0,1687,4547.0,-3684.0,1687.0,20.56098241696902,19634.0,11.950745932522171,Financial Sector Benchmark,2.63252872125641,3.585291655037678,2.1171015742937245,False,14807,0.21651985920777572,863.0,3684.0,4547.0,128461,28.0,447.875,1.0,,False
241,BAJAJFINSV,Mar 2022,68406,46951,21455.0,31.0,8,9629,563,11271,26.0,8314,29.0,1.0,12.153904628248984,31.364207818027655,321,80.0,40167,161179,131987,333413,3586,113,119222,210493,333413,13.0,Financials,Diversified Financials,2.12,Large Cap,-33670.0,1445,32326,-33670.0,1445.0,32326,-33670.0,1445.0,32326.0,20.657440306109773,21463.0,10.655526098914738,Financial Sector Benchmark,2.4936040286371557,4.004745695331329,2.2289957420292867,False,41957,0.20516896461745643,-32225.0,1445.0,-33670.0,161179,29.0,503.0875,1.0,,False
242,BAJAJFINSV,Mar 2023,82072,52204,29868.0,36.0,1,12380,678,16811,27.0,12210,40.0,2.0,14.877181011794521,36.39243590993274,322,159.0,46248,212265,146729,405401,4336,191,136176,264698,405401,13.0,Financials,Diversified Financials,2.12,Large Cap,-39480.0,-13945,51016,-39480.0,-13945.0,51016,-39480.0,-13945.0,51016.0,26.310685887904846,29869.0,11.547055730809674,Financial Sector Benchmark,3.011832728582317,4.573986683043507,2.4126817447495963,False,76089,0.2024464665849369,-53425.0,13945.0,-39480.0,212265,40.0,291.8679245283019,2.0,,False
243,BAJAJFINSV,Mar 2024,110382,69497,40886.0,37.0,-4,18607,900,21375,27.0,15595,51.0,2.0,14.128209309488865,37.04045949520755,323,159.0,60169,288933,188154,537415,5455,220,168385,363355,537415,13.0,Financials,Diversified Financials,2.12,Large Cap,-68674.0,-10960,82709,-68674.0,-10960.0,82709,-68674.0,-10960.0,82709.0,25.850351412279537,40882.0,11.705286304511525,Financial Sector Benchmark,2.9018542467180857,4.789368120938867,2.197130112323319,False,120548,0.2053943414307379,-79634.0,10960.0,-68674.0,288933,51.0,379.42138364779873,2.0,,False
245,BAJAJHLDNG,Mar 2013,337,15,322.0,95.0,3,0,2,322,21.0,1856,167.0,15.0,550.7418397626113,95.54896142433235,325,111.0,10234,0,430,10775,532,0,9577,666,10775,14.0,Financials,Holding Companies,3.36,Large Cap,473.0,-369,-332,473.0,-369.0,-332,473.0,-369.0,-332.0,17.941034316094733,325.0,3.141614306428226,Financial Sector Benchmark,17.22505800464037,0.0,,False,-9577,0.03127610208816705,104.0,369.0,473.0,0,167.0,93.1981981981982,15.0,Debt Free,False
246,BAJAJHLDNG,Mar 2014,423,23,400.0,94.0,5,0,5,400,20.0,1988,179.0,17.0,469.97635933806146,94.56264775413712,326,111.0,11888,0,449,12448,532,0,11325,592,12448,14.0,Financials,Holding Companies,3.36,Large Cap,872.0,-519,-326,872.0,-519.0,-326,872.0,-519.0,-326.0,16.56804733727811,405.0,3.375281273439453,Financial Sector Benchmark,15.97043701799486,0.0,,False,-11325,0.03398136246786632,353.0,519.0,872.0,0,179.0,108.09909909909909,17.0,Debt Free,False
247,BAJAJHLDNG,Mar 2015,524,40,484.0,92.0,35,0,6,513,19.0,2029,182.0,19.0,387.2137404580153,92.36641221374046,327,111.0,13282,0,500,13893,544,0,13078,271,13893,14.0,Financials,Holding Companies,3.36,Large Cap,796.0,-464,-391,796.0,-464.0,-391,796.0,-464.0,-391.0,15.149705069812589,519.0,3.8751586649742404,Financial Sector Benchmark,14.604477074785862,0.0,,False,-13078,0.037716835816598286,332.0,464.0,796.0,0,182.0,120.65765765765765,19.0,Debt Free,False
248,BAJAJHLDNG,Mar 2016,470,42,429.0,91.0,7,0,5,430,21.0,2265,204.0,16.0,481.9148936170213,91.27659574468086,328,111.0,15182,0,178,15472,544,0,13276,1651,15472,14.0,Financials,Holding Companies,3.36,Large Cap,1147.0,1019,-761,1147.0,1019.0,-761,1147.0,1019.0,-761.0,14.810697704832275,436.0,2.8509775714379124,Financial Sector Benchmark,14.639348500517062,0.0,,False,-13276,0.030377456049638055,2166.0,1019.0,1147.0,0,204.0,137.77477477477478,16.0,Debt Free,False
249,BAJAJHLDNG,Mar 2017,842,215,628.0,75.0,8,0,5,630,21.0,2473,222.0,15.0,293.70546318289786,74.58432304038006,329,111.0,17707,0,71,17889,222,0,17364,302,17889,14.0,Financials,Holding Companies,3.36,Large Cap,-923.0,-372,-110,-923.0,-372.0,-110,-923.0,-372.0,-110.0,13.879223257380177,636.0,3.5694241777977322,Financial Sector Benchmark,13.824137738274917,0.0,,False,-17364,0.047068030633350105,-1295.0,372.0,-923.0,0,222.0,160.52252252252254,15.0,Debt Free,False
250,BAJAJHLDNG,Mar 2018,420,65,355.0,85.0,2390,0,5,2739,3.0,2655,239.0,17.0,632.1428571428571,84.52380952380952,330,111.0,25090,0,68,25269,215,0,24575,478,25269,14.0,Financials,Holding Companies,3.36,Large Cap,1631.0,-1123,-434,1631.0,-1123.0,-434,1631.0,-1123.0,-434.0,10.535296218404032,2745.0,10.892424903773659,Financial Sector Benchmark,10.506945268906566,0.0,,False,-24575,0.016621156357592308,508.0,1123.0,1631.0,0,239.0,227.03603603603602,17.0,Debt Free,False
251,BAJAJHLDNG,Mar 2019,431,85,347.0,80.0,2827,0,4,3170,4.0,3048,274.0,12.0,707.1925754060325,80.51044083526682,331,111.0,26841,0,56,27008,193,0,26257,558,27008,14.0,Financials,Holding Companies,3.36,Large Cap,628.0,-163,-536,628.0,-163.0,-536,628.0,-163.0,-536.0,11.308993766696348,3174.0,11.776491540516473,Financial Sector Benchmark,11.285545023696683,0.0,,False,-26257,0.0159582345971564,465.0,163.0,628.0,0,274.0,242.8108108108108,12.0,Debt Free,False
252,BAJAJHLDNG,Mar 2020,435,134,301.0,69.0,3058,13,33,3314,7.0,3080,269.0,15.0,708.0459770114943,69.19540229885057,332,111.0,27652,168,4797,32729,374,0,32068,287,32729,14.0,Financials,Holding Companies,3.36,Large Cap,1920.0,-800,-1028,1920.0,-800.0,-1028,1920.0,-800.0,-1028.0,11.093901955840508,3359.0,12.026064229708926,Financial Sector Benchmark,9.410614439793456,0.006051219248640277,258.38461538461536,False,-31900,0.013290965199058938,1120.0,800.0,1920.0,168,269.0,250.11711711711712,15.0,,False
253,BAJAJHLDNG,Mar 2021,457,106,352.0,77.0,3451,4,34,3766,3.0,3654,328.0,12.0,799.562363238512,77.02407002188184,333,111.0,37056,136,8186,45490,342,0,44914,234,45490,14.0,Financials,Holding Companies,3.36,Large Cap,272.0,-308,-37,272.0,-308.0,-37,272.0,-308.0,-37.0,9.831301961417386,3803.0,10.19489049138139,Financial Sector Benchmark,8.032534622994064,0.0036591600075335648,950.75,False,-44778,0.010046163992086172,-36.0,308.0,272.0,136,328.0,334.8378378378378,12.0,,False
254,BAJAJHLDNG,Mar 2022,484,117,367.0,76.0,3896,3,34,4226,2.0,4126,364.0,32.0,852.4793388429752,75.82644628099173,334,111.0,42731,114,10632,53588,310,0,52964,314,53588,14.0,Financials,Holding Companies,3.36,Large Cap,1610.0,-151,-1460,1610.0,-151.0,-1460,1610.0,-151.0,-1460.0,9.630736193455022,4263.0,9.924108389980445,Financial Sector Benchmark,7.69948495931925,0.0026609401988702676,1421.0,False,-52850,0.009031872807344929,1459.0,151.0,1610.0,114,364.0,385.963963963964,32.0,,False
255,BAJAJHLDNG,Mar 2023,522,142,380.0,73.0,4673,7,34,5012,1.0,4946,436.0,28.0,947.5095785440614,72.79693486590038,335,111.0,44071,93,8913,53188,278,0,52555,355,53188,14.0,Financials,Holding Companies,3.36,Large Cap,1728.0,-137,-1587,1728.0,-137.0,-1587,1728.0,-137.0,-1587.0,11.194604137431535,5053.0,11.412761151891587,Financial Sector Benchmark,9.299090020305332,0.0021049296093431716,721.8571428571429,False,-52462,0.009814243814394224,1591.0,137.0,1728.0,93,436.0,398.036036036036,28.0,,False
256,BAJAJHLDNG,Mar 2024,1702,140,1562.0,92.0,5967,2,34,7493,2.0,7365,653.0,20.0,432.7262044653349,91.7743830787309,336,111.0,54136,63,10851,65161,244,0,64715,203,65161,14.0,Financials,Holding Companies,3.36,Large Cap,1941.0,-472,-1455,1941.0,-472.0,-1455,1941.0,-472.0,-1455.0,13.576787656460265,7529.0,13.8630086540232,Financial Sector Benchmark,11.302773131167417,0.0011613545449517945,3764.5,False,-64652,0.026119918356071883,1469.0,472.0,1941.0,63,653.0,488.7117117117117,20.0,,False
258,BAJFINANCE,Mar 2015,5392,2274,1752.0,1367.0,25,26,36,1357,34.0,898,18.0,10.0,16.654302670623146,32.49258160237389,338,50.0,4750,26655,1325,32780,252,0,326,32201,32780,15.0,Financials,Consumer Finance,1.78,Large Cap,-7064.0,-360,6867,-7064.0,-360.0,6867,-7064.0,-360.0,6867.0,18.708333333333332,1777.0,5.649340327451916,Financial Sector Benchmark,2.7394752898108603,5.553125,68.34615384615384,False,26329,0.16449054301403296,-7424.0,360.0,-7064.0,26655,18.0,96.0,10.0,,False
